id	group	start time	end time	duration	pressed back	attention check	age	gender	movie enthusiast	treatment	movie order	movie familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	ILS	inverse similarity	Sum (div+var+invsim)
80112	('Group1='. 2. '. Group2='. 3. '. Group3='. 1. 'ComparisonGroup='. 2)	2022-01-10 14:39:56.687031	2022-01-10 14:45:40.191804	343.504773	False	2	19-25	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather		2	4	5	4	5	4	more	0.0.0.0.0.0.0	52.718159	1.721960236	0.409	2	11
83604	('Group1='. 3. '. Group2='. 3. '. Group3='. 2. 'ComparisonGroup='. 4)	2021-12-16 10:22:55.388262	2021-12-16 10:29:23.216103	387.827841	False	2	19-25	female	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather		5	4	3	4	3	5	more	0.0.0.0.0.0.0	34.044452	1.532046348	0.409	2	9
36652	(Group1=. 2. . Group2=. 3. . Group3=. 3. ComparisonGroup=. 3)	2022-01-13 12:28:10.959777	2022-01-13 12:33:54.696654	343.736877	False	2	26-35	female	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	heard. heard. heard. heard. seen. heard. seen	3	4	3	4	3	4	more	0.0.0.0.0.0.0	50.598509	1.70413772	0.409	2	9
75093	(Group1=. 3. . Group2=. 3. . Group3=. 3. ComparisonGroup=. 1)	2022-01-13 12:12:54.127547	2022-01-13 12:22:46.896266	592.768719	False	2	19-25	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	never. never. heard. heard. seen. heard. heard	5	4	4	2	2	4	more	0.0.0.0.0.0.0	105.807904	2.024518111	0.409	4	12
16504	(Group1=. 2. . Group2=. 3. . Group3=. 2. ComparisonGroup=. 4)	2022-01-13 12:14:37.851136	2022-01-13 12:20:53.657232	375.806096	False	2	26-35	female	3	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	heard. never. heard. heard. heard. seen. never	6	4	3	5	4	4	exactly	0.0.0.0.0.0.0	32.083431	1.506280806	0.409	1	8
43147	(Group1=. 3. . Group2=. 3. . Group3=. 1. ComparisonGroup=. 4)	2022-01-13 12:16:47.706038	2022-01-13 12:25:30.145785	522.439747	False	2	46-55	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	never. never. never. heard. never. never. heard	5	4	4	2	2	4	more	0.0.0.0.0.0.0	46.975007	1.671866853	0.409	4	12
39293	('Group1='. 2. '. Group2='. 3. '. Group3='. 3. 'ComparisonGroup='. 2)	2021-12-21 18:21:46.008380	2021-12-21 18:30:44.050504	538.042124	False	2	26-35	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather		2	4	5	4	3	3	more	0.0.0.0.0.0.0	76.724893	1.884936291	0.409	2	11
61048	(Group1=. 1. . Group2=. 3. . Group3=. 2. ComparisonGroup=. 2)	2022-01-13 12:38:54.355476	2022-01-13 12:51:23.358933	749.003457	False	2	26-35	male	5	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	heard. heard. heard. seen. never. heard. never	2	3	4	5	4	3	exactly	0.0.0.0.0.0.0	189.628394	2.277903367	0.409	1	8
1169	(Group1=. 2. . Group2=. 3. . Group3=. 1. ComparisonGroup=. 3)	2022-01-13 12:18:22.172058	2022-01-13 12:25:25.836755	423.664697	False	2	26-35	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	heard. never. heard. heard. heard. seen. heard	6	4	4	4	2	5	more	0.0.0.0.0.0.0	46.380296	1.666333516	0.409	2	10
67600	(Group1=. 3. . Group2=. 3. . Group3=. 2. ComparisonGroup=. 1)	2022-01-13 12:12:47.035437	2022-01-13 12:27:36.592502	889.557065	False	2	26-35	male	4	Homogenous (maximize similarity of neighbors)	Pulp Fiction. Raiders of the Lost Ark. The Imitation Game. Terminator 2: Judgment Day. Mad Max: Fury Road. Fight Club. The Godfather	heard. seen. heard. seen. heard. seen. seen	1	5	5	2	5	5	more	0.0.0.0.0.0.0	68.310432	1.834487032	0.409	4	14
