id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment	order	familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	ILS	Sum (div+var+invsim)	inverse similarity
73410	('Group1=', 2, ', Group2=', 5, ', Group3=', 7, 'ComparisonGroup=', 4)	2022-02-26 23:37:36.539851	2022-02-26 23:46:32.578981	536,03913	False	2	56-65	male	2--3	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'prepared', 'similar', 'similar']	7	2	2	4	4	4	more	1,1,1,1,1,1,1	177,590719	2,249420266	0.48	6	2
82417	('Group1=', 2, ', Group2=', 5, ', Group3=', 6, 'ComparisonGroup=', 3)	2022-02-27 01:22:08.294051	2022-02-27 01:34:01.486970	713,192919	False	2	26-35	male	<1	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'never', 'never', 'never', 'never', 'never']	2	2	2	4	3	4	more	1,2,1,1,0,0,0	169,318533	2,228704497	0.48	6	2
81021	('Group1=', 2, ', Group2=', 5, ', Group3=', 3, 'ComparisonGroup=', 3)	2022-02-27 01:11:42.548709	2022-02-27 01:19:30.803026	468,254317	False	2	26-35	female	2--3	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'never', 'similar', 'prepared', 'similar']	2	4	5	4	5	4	exactly	0,0,0,0,0,0,0	74,008069	1,869279073	0.48	11	2
2675	('Group1=', 2, ', Group2=', 7, ', Group3=', 5, 'ComparisonGroup=', 3)	2022-02-26 23:38:48.477017	2022-02-26 23:51:21.456474	752,979457	False	2	>65	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'never', 'similar', 'similar', 'similar', 'similar', 'similar']	1	4	4	5	4	4	more	0,0,0,0,0,0,0	238,998027	2,378394316	0.48	9	1
47026	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-02-24 15:29:06.780133	2022-02-24 15:52:58.228201	1431,448068	False	2	26-35	female	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['never', 'prepared', 'never', 'similar', 'never', 'never', 'prepared']	7	4	5	4	5	4	more	0,0,0,0,0,0,0	152,987716	2,184656561	0.48	11	2
55848	('Group1=', 2, ', Group2=', 7, ', Group3=', 4, 'ComparisonGroup=', 1)	2022-02-26 23:58:59.753195	2022-02-27 00:11:17.764069	738,010874	False	2	26-35	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'never', 'similar', 'similar', 'similar', 'never', 'never']	4	2	2	5	3	4	more	1,1,3,1,1,1,1	176,006974	2,245529876	0.48	5	1
58423	('Group1=', 2, ', Group2=', 4, ', Group3=', 7, 'ComparisonGroup=', 4)	2022-02-27 01:19:43.563713	2022-02-27 01:27:56.452345	492,888632	False	2	26-35	male	1	religious	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'never', 'never', 'similar', 'similar']	5	4	5	4	5	4	more	0,0,0,0,0,0,0	379,437541	2,579140297	0.48	11	2
7618	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-02-26 23:53:50.654871	2022-02-27 00:00:54.870111	424,21524	False	2	26-35	male	>5	none	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'similar', 'prepared', 'similar', 'similar', 'similar', 'similar']	1	1	1	5	5	5	more	0,0,0,0,0,0,0	66,934933	1,825652833	0.48	3	1
34329	('Group1=', 5, ', Group2=', 2, ', Group3=', 7, 'ComparisonGroup=', 4)	2022-02-27 00:41:27.958563	2022-02-27 00:46:50.473681	322,515118	False	2	26-35	male	>5	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['prepared', 'similar', 'never', 'prepared', 'similar', 'similar', 'never']	3	3	3	4	4	4	exactly	0,0,0,0,0,0,0	34,696533	1,540286081	0.48	8	2
40986	('Group1=', 4, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 3)	2022-02-27 01:04:06.977434	2022-02-27 01:10:07.486601	360,509167	False	2	26-35	male	2--3	vegetarian	Collection	Chocolate Chocolate Chip Muffins, Double Chocolate Cherry MuffinsChocolate Chocolate Chip Nut MuffinsChocolate Raisin Oatmeal Muffins, Moist Chocolate Muffins, Healthy Chocolate Morning MuffinsChocolate Protein Muffins	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	2	4	5	4	5	4	exactly	0,0,0,0,0,0,0	29,243848	1,466034518	0.48	11	2
