id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment1	order1	familiarity1	selection1	diversity1	variety1	similarity1	easiness1	confidence1	amount1	poster clicks1	treatment2	order2	familiarity2	selection2	diversity2	variety2	similarity2	easiness2	confidence2	amount2	poster clicks2	treatment3	order3	familiarity3	selection3	diversity3	variety3	similarity3	easiness3	confidence3	amount3	poster clicks3	comparison 1	comparison 2	comparison similarity	poster clicks comparison	decision time1	decision time2	decision time3	decision time comparison	decision time freetext	decision time ranking	decision time landing page questions	decision time demographics	discovery	interests	distraction	ranking	freetext	feedback
94904	('Group1=', 8, ', Group2=', 4, ', Group3=', 7, 'ComparisonGroup=', 1)	2022-03-03 14:35:27.838173	2022-03-03 14:37:00.405019	92,566846	False	2	26-35	male	<1	none	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['never', 'never', 'never', 'never', 'never', 'never', 'never']	2	4	2	5	3	4	more	0,0,0,0,0,0,0	Homogenous (maximize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus'], 'BBQ Chicken Wings'], 'Tandoori Chicken']"	['never', 'never', 'never', 'never', 'never', 'never', 'never']	7	5	4	5	4	4	more	0,0,0,0,0,0,0	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['never', 'never', 'never', 'never', 'never', 'never', 'never']	4	4	5	3	4	4	more	0,0,0,0,0,0,0	Delicious Ham and Potato Soup	Broiled Tilapia Parmesan	3	0	17,218408	13,026515	9,921964	3,923927	21,159861	11,668278	6,048263	9,487763	3	2	3	title, nutrients	If the recipe lists have food from different parts of the world or for different kinds of meals	
69498	('Group1=', 8, ', Group2=', 4, ', Group3=', 6, 'ComparisonGroup=', 3)	2022-02-27 02:23:58.267100	2022-02-27 02:25:50.087063	111,819963	False	2	26-35	male	4--5	vegetarian	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['similar', 'prepared', 'similar', 'prepared', 'prepared', 'similar', 'similar']	5	4	5	4	5	4	exactly	0,0,0,0,0,0,0	Homogenous (maximize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus'], 'BBQ Chicken Wings'], 'Tandoori Chicken']"	['similar', 'similar', 'never', 'similar', 'similar', 'never', 'never']	4	4	5	4	5	4	exactly	0,0,0,0,0,0,0	Recommendation-based (mid-ILS maximize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Banana Crumb Muffins'], 'Award Winning Soft Chocolate Chip Cookies'], 'Cranberry Pistachio Biscotti'], 'Delicious Ham and Potato Soup'], 'Orzo with Parmesan and Basil'], 'Broiled Tilapia Parmesan']	['similar', 'similar', 'never', 'similar', 'similar', 'never', 'never']	4	4	5	4	5	4	exactly	0,0,0,0,0,0,0	Award Winning Soft Chocolate Chip Cookies	Orzo with Parmesan and Basil	4	0,1	22,111259	19,48329	0,606484	8,376748	26,393868	6,410319	8,548735	19,604445	4	5	4	image	Directions. What you need to do in order to complete the recipe.	nice
33451	('Group1=', 9, ', Group2=', 4, ', Group3=', 7, 'ComparisonGroup=', 4)	2022-02-27 00:26:42.433815	2022-02-27 00:29:30.304743	167,870928	True	2	19-25	female	2--3	none	Recommendation-based (low-ILS)	"[[[[[[['', ""Jay's Signature Pizza Crust""], 'Broiled Tilapia Parmesan'], 'Delicious Ham and Potato Soup'], 'Baked Teriyaki Chicken'], 'Award Winning Soft Chocolate Chip Cookies'], 'Slow Cooker Mashed Potatoes'], 'Mexican Rice']"	['similar', 'never', 'never', 'never', 'similar', 'similar', 'similar']	5	5	5	5	5	5	more	0,0,0,0,0,0,0	Homogenous (maximize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus'], 'BBQ Chicken Wings'], 'Tandoori Chicken']"	['never', 'never', 'never', 'never', 'never', 'never', 'never']	4	3	4	4	4	4	none	0,0,0,0,0,0,0	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['similar', 'never', 'never', 'similar', 'never', 'never', 'never']	4	5	5	5	5	5	more	0,0,0,0,0,0,0	Banana Crumb Muffins	Broiled Tilapia Parmesan	2	0	29,801059	29,260069	27,403612	12,92972	33,044625	16,225126	7,255678	11,726515	4	4	5	title, image, nutrients	I considered textures, tastes, and what type of food it was to determine if the list was diverse.	
37911	('Group1=', 8, ', Group2=', 1, ', Group3=', 7, 'ComparisonGroup=', 2)	2022-03-01 15:45:03.125460	2022-03-01 15:47:57.716609	174,591149	False	2	26-35	male	>5	vegetarian	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['similar', 'never', 'similar', 'never', 'never', 'similar', 'similar']	6	3	4	5	4	4	more	0,0,0,0,0,0,0	Homogenous (shuffled)	"[[[[[[['', 'Chicken Penne with Asparagus'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'BBQ Chicken Wings'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Lentil Stew'], 'Tandoori Chicken']"	['similar', 'never', 'similar', 'never', 'never', 'similar', 'similar']	4	3	4	4	5	5	exactly	0,0,0,0,0,0,0	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['similar', 'similar', 'never', 'similar', 'never', 'similar', 'similar']	3	3	4	5	4	4	more	0,0,0,0,0,0,0	Fluffy Pancakes	Cranberry Pistachio Biscotti	4	0,1	21,497305	18,080618	44,566584	8,723697	44,920478	14,278088	9,250732	13,154107	4	5	4	title, image, duration	avoid in hotel foods tasty but not healthy. most prefer in home foods.	
64488	('Group1=', 5, ', Group2=', 6, ', Group3=', 8, 'ComparisonGroup=', 4)	2022-02-27 00:47:59.359454	2022-02-27 00:51:05.652574	186,29312	False	2	26-35	male	4--5	vegetarian	Homogenous (minimize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Tandoori Chicken'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'BBQ Chicken Wings'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus']"	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	4	4	5	4	5	4	exactly	0,0,0,0,0,0,0	Recommendation-based (mid-ILS maximize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Banana Crumb Muffins'], 'Award Winning Soft Chocolate Chip Cookies'], 'Cranberry Pistachio Biscotti'], 'Delicious Ham and Potato Soup'], 'Orzo with Parmesan and Basil'], 'Broiled Tilapia Parmesan']	['similar', 'prepared', 'similar', 'similar', 'similar', 'similar', 'similar']	4	4	5	4	5	4	more	0,0,0,0,0,0,0	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['similar', 'never', 'similar', 'prepared', 'similar', 'similar', 'similar']	3	4	5	4	5	5	exactly	0,0,0,0,0,0,0	Banana Crumb Muffins	Broiled Tilapia Parmesan	3	0	52,034398	21,609576	18,336031	9,361905	40,33172	11,047737	9,074032	24,22943	4	5	4	image	Ingredients are listed in the exact amount as needed. The specific form of ingredient is also stated. Ingredients should be listed in the order they are used in the recipe in order to prevent leaving out any ingredients. The recipe should have directions for how to prepare it.	nice
47897	('Group1=', 7, ', Group2=', 5, ', Group3=', 9, 'ComparisonGroup=', 3)	2022-03-03 14:39:33.550296	2022-03-03 14:42:41.562148	188,011852	False	2	46-55	male	2--3	none	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['prepared', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared']	1	5	5	3	4	5	more	0,0,0,0,0,0,0	Homogenous (minimize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Tandoori Chicken'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'BBQ Chicken Wings'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus']"	['never', 'never', 'never', 'never', 'never', 'never', 'never']	6	5	4	3	3	4	exactly	0,0,0,0,0,0,0	Recommendation-based (low-ILS)	"[[[[[[['', ""Jay's Signature Pizza Crust""], 'Broiled Tilapia Parmesan'], 'Delicious Ham and Potato Soup'], 'Baked Teriyaki Chicken'], 'Award Winning Soft Chocolate Chip Cookies'], 'Slow Cooker Mashed Potatoes'], 'Mexican Rice']"	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	1	4	3	3	2	2	more	0,0,0,0,0,0,0	Award Winning Soft Chocolate Chip Cookies	Orzo with Parmesan and Basil	1	0	48,74601	28,92973	27,098088	7,374991	34,057397	20,432724	8,418233	12,826921	4	4	4	ingredients	if the ingredients were vastly different or the cooking process were different. This was the main criteria used by me.	
49187	('Group1=', 1, ', Group2=', 6, ', Group3=', 2, 'ComparisonGroup=', 2)	2022-03-03 14:35:27.696723	2022-03-03 14:38:36.496310	188,799587	False	2	36-45	male	2--3	none	Homogenous (shuffled)	"[[[[[[['', 'Chicken Penne with Asparagus'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'BBQ Chicken Wings'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Lentil Stew'], 'Tandoori Chicken']"	['never', 'never', 'similar', 'never', 'never', 'similar', 'never']	1	4	4	4	4	4	more	0,0,0,0,0,0,0	Recommendation-based (mid-ILS maximize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Banana Crumb Muffins'], 'Award Winning Soft Chocolate Chip Cookies'], 'Cranberry Pistachio Biscotti'], 'Delicious Ham and Potato Soup'], 'Orzo with Parmesan and Basil'], 'Broiled Tilapia Parmesan']	['similar', 'never', 'never', 'never', 'never', 'never', 'never']	1	4	4	4	4	4	more	0,0,0,0,0,0,0	Collection	[[[[[[['', 'Chocolate Chocolate Chip Muffins'], 'Double Chocolate Cherry Muffins'], 'Chocolate Chocolate Chip Nut Muffins'], 'Chocolate Raisin Oatmeal Muffins'], 'Moist Chocolate Muffins'], 'Healthy Chocolate Morning Muffins'], 'Chocolate Protein Muffins']	['similar', 'never', 'never', 'never', 'never', 'never', 'never']	1	4	4	4	4	4	more	0,0,0,0,0,0,0	Fluffy Pancakes	Cranberry Pistachio Biscotti	2	0	38,150538	30,88821	21,747308	9,596926	33,282846	28,300098	9,413394	17,302786	4	4	2	ingredients, image, instructions, cuisine, reviews, duration, title, nutrients	I used my first impression and intuition and past experience	
56135	('Group1=', 8, ', Group2=', 4, ', Group3=', 7, 'ComparisonGroup=', 1)	2022-03-01 17:49:06.705157	2022-03-01 17:52:19.738329	193,033172	False	2	19-25	male	>5	vegetarian	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['similar', 'similar', 'never', 'similar', 'similar', 'similar', 'similar']	7	3	3	4	5	5	exactly	0,0,0,0,0,0,0	Homogenous (maximize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus'], 'BBQ Chicken Wings'], 'Tandoori Chicken']"	['similar', 'prepared', 'never', 'never', 'similar', 'never', 'similar']	2	4	4	4	4	4	exactly	0,0,0,0,0,0,0	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['never', 'never', 'similar', 'never', 'similar', 'similar', 'never']	5	5	5	5	5	5	exactly	0,0,0,0,0,0,0	Delicious Ham and Potato Soup	Broiled Tilapia Parmesan	4	0	54,931579	22,293129	20,621981	6,9962	52,854719	11,040277	11,994725	11,762926	5	4	3	title, duration	VERY TASTY SUPER.VERY TASTY SUPER.	
86290	('Group1=', 1, ', Group2=', 6, ', Group3=', 8, 'ComparisonGroup=', 4)	2022-03-01 16:42:27.245193	2022-03-01 16:45:50.370216	203,125023	False	2	19-25	male	1	allergies	Homogenous (shuffled)	"[[[[[[['', 'Chicken Penne with Asparagus'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'BBQ Chicken Wings'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Lentil Stew'], 'Tandoori Chicken']"	['similar', 'never', 'prepared', 'never', 'similar', 'never', 'similar']	3	4	4	4	5	5	more	0,0,0,0,0,0,0	Recommendation-based (mid-ILS maximize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Banana Crumb Muffins'], 'Award Winning Soft Chocolate Chip Cookies'], 'Cranberry Pistachio Biscotti'], 'Delicious Ham and Potato Soup'], 'Orzo with Parmesan and Basil'], 'Broiled Tilapia Parmesan']	['prepared', 'never', 'similar', 'never', 'never', 'never', 'never']	3	5	4	2	5	5	more	0,0,0,0,0,0,0	Recommendation-based (high-ILS)	"[[[[[[['', ""Beth's Spicy Oatmeal Raisin Cookies""], 'Delicious Ham and Potato Soup'], 'Slow-Cooker Pepper Steak'], 'Burrito Pie'], 'Good Old Fashioned Pancakes'], 'Best Brownies'], 'Orzo with Parmesan and Basil']"	['never', 'never', 'similar', 'never', 'prepared', 'similar', 'never']	5	5	5	3	3	5	more	0,0,0,0,0,0,0	Banana Crumb Muffins	Broiled Tilapia Parmesan	1	0	35,222972	27,27282	31,448515	6,275038	48,354354	24,148982	13,34015	16,853546	5	5	3	image, ingredients, nutrients, title, cuisine, duration, reviews, instructions	My criteria were the nutrients, ingredients, overall look of the food, and whether I had eaten it before.	
95948	('Group1=', 9, ', Group2=', 7, ', Group3=', 4, 'ComparisonGroup=', 1)	2022-03-01 15:55:43.800510	2022-03-01 15:59:07.965801	204,165291	False	2	26-35	female	>5	none	Recommendation-based (low-ILS)	"[[[[[[['', ""Jay's Signature Pizza Crust""], 'Broiled Tilapia Parmesan'], 'Delicious Ham and Potato Soup'], 'Baked Teriyaki Chicken'], 'Award Winning Soft Chocolate Chip Cookies'], 'Slow Cooker Mashed Potatoes'], 'Mexican Rice']"	['never', 'prepared', 'prepared', 'similar', 'similar', 'prepared', 'never']	7	5	5	5	5	5	more	0,0,0,0,0,0,0	Recommendation-based (mid-ILS minimize similarity of neighbors)	[[[[[[['', 'Fluffy Pancakes'], 'Broiled Tilapia Parmesan'], 'Orzo with Parmesan and Basil'], 'Award Winning Soft Chocolate Chip Cookies'], 'Delicious Ham and Potato Soup'], 'Banana Crumb Muffins'], 'Cranberry Pistachio Biscotti']	['never', 'never', 'similar', 'never', 'prepared', 'prepared', 'never']	3	5	5	5	5	4	more	0,0,0,0,0,0,0	Homogenous (maximize similarity of neighbors)	"[[[[[[['', 'Lentil Stew'], 'Black Bean, Sausage, and Sweet Potato Soup'], 'Easy Sweet Chili'], ""Aunt Ro's Baked Beans""], 'Chicken Penne with Asparagus'], 'BBQ Chicken Wings'], 'Tandoori Chicken']"	['never', 'never', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared']	6	5	5	5	5	5	more	0,0,0,0,0,0,0	Delicious Ham and Potato Soup	Broiled Tilapia Parmesan	5	0	32,552171	35,440446	29,737373	6,450874	50,396933	30,273676	7,63544	11,563765	4	4	4	title, image, cuisine, reviews, ingredients, instructions, nutrients, duration	its easy to tell the list is diverse because each meal has a different flavor. They are all unique and a different type of meal.	
