id	group	start time	end time	duration	pressed back	attention check	age	gender	movie enthusiast	treatment	movie order	movie familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	Sum (div+var+sim)	inversed similarity	ILS
83021	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 14:58:57.144365	2022-03-31 15:02:10.624430	193,480065	False	2	26-35	female	2	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'heard', 'seen', 'heard', 'seen', 'seen', 'seen']	6	4	4	2	2	4	more	0,0,0,0,0,0,0	27,432021	1,438257805	12	4	0.42
90141	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 15:41:35.825136	2022-03-31 15:44:51.663552	195,838416	False	2	26-35	female	5	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'seen', 'seen', 'heard', 'seen', 'seen']	3	4	4	3	4	4	more	0,0,0,0,0,0,0	24,684532	1,392424898	11	3	0.42
61690	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 15:22:15.704537	2022-03-31 15:25:35.230543	199,526006	False	2	56-65	male	5	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'heard', 'heard', 'seen', 'seen', 'heard']	5	5	4	5	4	5	exactly	0,0,0,0,0,0,0	23,016375	1,362036925	10	1	0.42
27361	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-31 15:41:53.934657	2022-03-31 15:45:17.794002	203,859345	False	2	36-45	male	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	2	4	4	4	4	4	more	0,0,0,0,0,0,0	30,479561	1,484008708	10	2	0.42
79277	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 2)	2022-03-31 13:46:25.083334	2022-03-31 13:49:51.819022	206,735688	False	2	26-35	male	3	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'heard', 'seen', 'seen', 'seen']	2	4	4	3	5	5	more	0,0,0,0,0,0,0	39,899933	1,600972166	11	3	0.42
56142	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-31 13:41:22.539035	2022-03-31 13:44:59.835082	217,296047	False	2	26-35	male	2	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'heard', 'seen', 'heard', 'heard', 'heard', 'heard']	3	5	4	3	3	5	more	0,0,0,0,0,0,0	32,131061	1,506925067	12	3	0.42
22326	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 3)	2022-03-31 13:49:36.186676	2022-03-31 13:53:46.738543	250,551867	False	2	19-25	female	2	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'heard', 'heard', 'seen', 'seen', 'heard', 'seen']	6	2	2	4	5	4	more	0,0,1,0,0,0,0	48,938188	1,689647885	6	2	0.42
41992	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 13:49:43.616202	2022-03-31 13:54:00.296459	256,680257	False	2	36-45	male	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	4	4	4	2	4	4	more	0,0,0,0,0,0,0	38,506866	1,585538174	12	4	0.42
14132	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 14:43:19.924115	2022-03-31 14:47:50.070867	270,146752	False	2	36-45	male	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'heard']	1	4	4	2	5	5	more	0,0,0,0,0,0,0	29,659412	1,472162537	12	4	0.42
96766	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 2)	2022-03-31 14:42:59.805118	2022-03-31 14:47:30.469306	270,664188	False	2	26-35	female	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'heard', 'seen', 'heard', 'seen', 'seen', 'heard']	6	2	2	4	4	5	more	0,0,0,0,0,0,0	39,241658	1,593747348	6	2	0.42
81975	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-31 14:42:39.559723	2022-03-31 14:47:15.564408	276,004685	False	2	36-45	male	3	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['never', 'heard', 'seen', 'never', 'heard', 'heard', 'never']	3	3	4	4	3	4	exactly	0,0,0,0,0,0,0	28,12876	1,449150588	9	2	0.42
40648	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-31 13:59:32.215356	2022-03-31 14:04:12.485177	280,269821	False	2	46-55	male	5	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	4	5	5	4	4	4	more	0,0,0,0,0,0,0	64,774912	1,811406832	12	2	0.42
78891	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-31 15:19:29.978281	2022-03-31 15:24:12.278654	282,300373	False	2	36-45	male	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'heard', 'seen', 'seen', 'seen']	3	4	3	3	4	5	more	0,0,0,0,0,0,0	30,820093	1,488833945	10	3	0.42
