id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment1	order	familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	Sum (div+var+sim)	inversed similarity	ILS
4072	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 14:26:52.371148	2022-03-30 14:29:33.711893	161,340745	False	2	26-35	female	4--5	vegan	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'similar', 'similar', 'similar', 'prepared', 'similar']	6	3	4	3	4	4	exactly	0,0,0,0,0,0,0	27,507416	1,439449795	10	3	0.34
6704	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 13:44:09.859215	2022-03-30 13:47:23.810125	193,95091	False	2	26-35	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'never']	5	4	3	4	4	4	exactly	0,0,0,0,0,0,0	33,465132	1,524592542	9	2	0.34
72143	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 13:52:31.194086	2022-03-30 13:55:47.032085	195,837999	False	2	36-45	female	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared']	5	5	3	3	4	4	more	0,0,0,0,0,0,0	28,950351	1,461653834	11	3	0.34
77986	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:30:46.059844	2022-03-30 14:34:29.611473	223,551629	False	2	46-55	female	4--5	vegan	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['prepared', 'similar', 'prepared', 'never', 'similar', 'similar', 'similar']	5	3	4	4	5	4	exactly	0,0,0,0,0,0,0	31,183093	1,49391919	9	2	0.34
95535	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:44:22.425153	2022-03-30 14:48:18.574581	236,149428	False	2	26-35	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'prepared', 'similar', 'similar', 'similar', 'similar']	4	4	4	4	4	4	more	0,0,0,0,0,0,0	42,805674	1,63150134	10	2	0.34
95535	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:44:22.425153	2022-03-30 14:48:21.311586	238,886433	False	2	26-35	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'prepared', 'similar', 'similar', 'similar', 'similar']	4	4	4	4	4	4	more	0,0,0,0,0,0,0	42,805674	1,63150134	10	2	0.34
91566	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-30 15:06:27.661979	2022-03-30 15:10:33.869392	246,207413	False	2	46-55	female	1	religious	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['prepared', 'never', 'never', 'never', 'never', 'never', 'never']	1	4	4	4	4	4	exactly	0,0,0,0,0,0,0	25,215593	1,401669186	10	2	0.34
87957	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:34:11.881604	2022-03-30 14:38:36.698377	264,816773	False	2	36-45	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	4	4	4	3	4	4	more	0,0,0,0,0,0,0	59,954618	1,77782264	11	3	0.34
71447	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-03-30 13:54:06.245071	2022-03-30 13:58:45.456024	279,210953	False	2	36-45	female	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'prepared', 'prepared', 'similar', 'similar']	5	4	3	4	5	4	more	0,0,0,0,0,0,0	37,340964	1,572185526	9	2	0.34
3254	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 3)	2022-03-30 14:14:36.695070	2022-03-30 14:19:16.230039	279,534969	False	2	26-35	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'similar', 'prepared', 'similar', 'never']	4	4	5	5	5	4	more	0,0,0,0,0,0,0	26,482718	1,422962556	10	1	0.34
40578	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-30 13:35:23.612869	2022-03-30 13:40:06.388584	282,775715	False	2	46-55	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'never', 'similar', 'similar', 'never']	3	4	4	4	4	4	more	0,0,0,0,0,0,0	40,529397	1,607770142	10	2	0.34
25861	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-30 13:27:07.961750	2022-03-30 13:32:12.788574	304,826824	False	2	26-35	male	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'similar', 'similar', 'never']	4	2	2	5	4	4	more	0,0,0,0,0,0,0	30,473562	1,483923221	5	1	0.34
80649	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:41:50.149278	2022-03-30 14:47:08.852870	318,703592	False	2	26-35	male	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	7	2	2	4	2	4	more	0,0,0,0,0,0,0	38,520932	1,585696786	6	2	0.34
