id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment1	order1	familiarity1	selection1	diversity1	variety1	similarity1	easiness1confidence1	confidence1	amount1	poster clicks1	treatment2	order2	familiarity2	selection2	diversity2	variety2	similarity2	easiness2	confidence2	amount2	poster clicks2	treatment3	order3	familiarity3	selection3	diversity3	variety3	similarity3	easiness3	confidence3	amount3	poster clicks3	comparison 1	comparison 2	comparison similarity	poster clicks comparison	decision time1	decision time2	decision time3	decision time comparison	decision time freetext	decision time ranking	decision time landing page questions	decision time demographics	discovery	interests	distraction	ranking	freetext	feedback
6704	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 13:44:09.859215	2022-03-30 13:47:23.810125	193,95091	False	2	26-35	female	4--5	vegetarian	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['never', 'similar', 'similar', 'never', 'never', 'never', 'never']	4	4	4	3	4	4	exactly	0,0,0,0,0,0,0	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'never']	5	4	3	4	4	4	exactly	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'never']	5	3	4	5	4	5	none	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	4	0	35,412201	33,465132	19,124903	7,883266	53,435208	13,410449	9,364739	20,900713	3	4	4	title	AND I LIKE IT VERY MUCH . IT WAS GOOD	GOOD
77986	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:30:46.059844	2022-03-30 14:34:29.611473	223,551629	False	2	46-55	female	4--5	vegan	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['prepared', 'similar', 'prepared', 'never', 'similar', 'similar', 'similar']	5	3	4	4	5	4	exactly	0,0,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'similar', 'prepared', 'similar', 'similar', 'similar', 'prepared']	6	3	4	5	4	4	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['prepared', 'never', 'similar', 'similar', 'prepared', 'never', 'never']	6	3	4	4	5	5	exactly	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	4	0	31,183093	18,259875	32,069989	6,264937	65,890433	6,438295	17,824116	44,810287	2	3	3	title	it was good   and i like it very much. it was help full .	nice
25861	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-30 13:27:07.961750	2022-03-30 13:32:12.788574	304,826824	False	2	26-35	male	2--3	none	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['never', 'never', 'never', 'never', 'never', 'similar', 'never']	6	4	5	1	3	4	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['never', 'never', 'never', 'never', 'never', 'never', 'never']	3	5	4	1	3	4	exactly	0,0,0,0,0,0,0	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'similar', 'similar', 'never']	4	2	2	5	4	4	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	2	0	46,347986	29,928923	30,473562	5,8295	58,911916	13,023572	108,14694	12,074327	4	3	1	ingredients	Recipes are diverse when they contain a different set of ingredients used to make different type of things. If they both have chicken as a protein but go about it in different ways I would still consider it diverse.	
80649	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:41:50.149278	2022-03-30 14:47:08.852870	318,703592	False	2	26-35	male	2--3	none	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'prepared', 'never', 'prepared', 'similar', 'prepared', 'never']	3	5	5	2	2	4	more	0,0,0,0,0,0,0	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	7	2	2	4	2	4	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['prepared', 'never', 'similar', 'similar', 'prepared', 'never', 'prepared']	2	5	5	2	2	3	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	2	1,1	61,175571	38,520932	42,084175	12,488268	83,451745	53,949078	15,378882	11,532057	5	5	3	ingredients, nutrients, cuisine, duration, instructions, title, image, reviews	I believe that the criterion for diversity in a recipe is dependent on the ingredients used. For instance, using a protein as the central ingredient versus a vegetable-heavy dish or baked goods - all being three separate and diverse categories. 	Thank you
68034	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 15:29:30.498587	2022-03-30 15:35:07.605422	337,106835	False	2	26-35	female	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	1	2	2	4	2	5	more	1,1,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'never', 'never', 'similar', 'prepared', 'similar', 'prepared']	5	5	5	1	1	5	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['similar', 'never', 'prepared', 'never', 'prepared', 'similar', 'similar']	5	5	5	1	4	5	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	1	0	92,422035	46,231636	39,770722	8,833331	76,764201	47,204016	15,109293	10,647054	4	2	5	cuisine, ingredients	I think that when I was thinking of it, if a list was diverse, it would have sweet AND savory dishes together, and not just one type. On top of that, I also thought about variety of ingredients, meaning meat dishes with vegetable dishes, etc. 	
26118	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:32:10.429654	2022-03-30 13:38:10.305157	359,875503	False	2	46-55	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'never', 'prepared', 'prepared', 'similar', 'prepared', 'prepared']	4	2	2	4	4	4	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['prepared', 'prepared', 'similar', 'never', 'similar', 'similar', 'prepared']	6	4	5	1	2	4	more	0,0,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'similar', 'prepared', 'similar', 'similar', 'prepared', 'similar']	5	4	4	2	4	4	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	2	1,1	84,037615	49,88876	37,029842	22,509476	82,937975	52,208497	16,200436	14,935548	4	4	2	ingredients, cuisine, image, title	 I gauged diversity by meal type (typical breakfast, lunch, or dinner), ethnic background, and ingredients.  Those were the primary criteria and the only ones I can think of.	Thanks for the HIT!  I did my best and hope the data is useful!
69180	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 15:11:12.099294	2022-03-30 15:21:04.220682	592,121388	False	2	26-35	male	4--5	gluten	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'similar', 'prepared', 'prepared', 'never', 'prepared', 'prepared']	7	4	4	4	4	4	exactly	0,0,0,0,0,0,0	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'never', 'similar', 'similar', 'similar', 'never']	4	4	4	4	4	4	exactly	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['similar', 'similar', 'similar', 'never', 'never', 'prepared', 'prepared']	6	4	4	4	4	4	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	4	0	404,260027	30,613022	22,755475	9,816535	73,080431	17,628084	11,447962	21,908429	4	4	4	title, ingredients, reviews, nutrients, duration, instructions, cuisine, image	Both recipes are Chicken Pot Pie Janet's Rich Banana Bread good and nice and tasty to eat and also easy to prepare and they are slightly new to me. 	Good
64388	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:23:54.880974	2022-03-30 13:34:13.059234	618,17826	False	2	36-45	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'prepared', 'prepared', 'never']	6	4	5	3	4	4	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['never', 'never', 'never', 'never', 'similar', 'similar', 'prepared']	7	4	4	4	5	5	exactly	0,0,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['never', 'similar', 'similar', 'never', 'prepared', 'never', 'similar']	7	5	5	2	4	5	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	2	0	143,788496	88,781535	44,230317	10,162838	191,016484	69,415864	20,132792	50,527373	4	4	2	ingredients, nutrients, cuisine, duration, instructions, title, image, reviews	I first find out the raw materials used for the preparation of the dishes then I classify the dishes based on the output of the dishes and the images shown.	The survey is interesting and I like it to complete.
87500	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:29:22.539464	2022-03-30 13:41:57.962664	755,4232	False	2	36-45	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'never', 'similar', 'never']	4	2	4	4	3	3	more	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['prepared', 'never', 'similar', 'never', 'similar', 'similar', 'similar']	3	4	3	2	4	4	more	0,0,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['prepared', 'similar', 'similar', 'never', 'never', 'never', 'never']	2	4	3	2	3	4	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	2	1	167,767307	114,533767	76,450009	20,215108	159,654198	97,161318	97,155501	22,316558	2	2	4	image, cuisine	I determined what kind of dish that it was, if it was a main, a side or a desert.   	
69664	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:37:21.226591	2022-03-30 13:51:10.574473	829,347882	False	2	56-65	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'similar', 'never', 'similar', 'similar']	3	4	4	5	4	3	exactly	0,0,0,0,0,0,0	Mid-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Mushrooms with a Soy Sauce Glaze'], 'Meatball Nirvana'], 'Donut Muffins'], ""Janet's Rich Banana Bread""], 'Pico de Gallo Chicken Quesadillas'], 'Chicken Pot Pie']"	['similar', 'prepared', 'similar', 'never', 'similar', 'similar', 'prepared']	7	4	5	5	4	4	exactly	0,0,0,0,0,0,0	Low-ILS	"[[[[[[['', 'Roasted Brussels Sprouts'], 'Shrimp Scampi Bake'], 'Pico de Gallo Chicken Quesadillas'], 'Chocolate Covered Strawberries'], 'Roasted Garlic Cauliflower'], 'Sirloin Steak with Garlic Butter'], ""Mom's Zucchini Bread""]"	['similar', 'prepared', 'never', 'similar', 'prepared', 'prepared', 'similar']	2	4	4	4	4	4	more	0,0,0,0,0,0,0	Chicken Pot Pie	Janet's Rich Banana Bread	1	0	311,078697	163,896043	87,070406	11,885988	140,595893	38,693279	12,745226	63,201509	4	4	3	nutrients, title, ingredients, cuisine, duration, reviews, image	I have reed the text in all recipe. There are different recipe but I cooked certain recipe. This tasks prefer which recipe we cook.	no comments
